id,name,comment,label
0,7 Viên Ngọc Rồng - Dragon Ball,Goten bên AF ,0
1,Lê Tiên Sắc,Có sức khỏe để cày nhưng bị bắt đi diễn hài,0
2,Phong Ha Trung,Hợp thể với ca lích đấm ma bư cũng chiến mà  góp phần tấu hài nữa,0
3,Anh Tuấn Trần,Chỉ cần 1 chap là 2 con báo đã sống mãi trong lòng người hâm mộ rồi.,0
4,Bá Nhẫn,nếu black goku đổi thành black goten thì hay,0
5,Đâu Phải Bạch Dương,Nếu t nhớ ko nhầm là do art Cell Goku hy sinh và tác giả tạo ra Goten để làm main tiếp theo nhưng bị fan kêu quá nên hồi sinh Goku,0
6,Trần Ngọc Hoàng,Tiềm năng phết mọi người nhỉ,0
7,Chí Thiện,Akira muốn gohan lên làm main nhé,0
8,Duong Nguyen,"Tác giả định cho Gohan làm main, nhưng fans kêu nhiều quá, nên vẽ 1 đứa giống hệt Goku để xoa dịu, nhưng fan vẫn không chịu, nên mới phải gọi lại Goku",0
9,Lâm Tùng,Siêu saiyan đầu tiên không biết bay =)),0
10,Nguyễn Trọng Nhân,Thích goten cực mà ít đất diễn. Mê đoạn này,0
11,Trân Trân,ít ra bên fanmade kakumei lên god cũng iu,0
12,Trọng Hoàng,Nhưng cho dù lên làm main thì anh mười bảy vẫn mvp nhá  :)),0
13,Đình Văn,Vốn là nhân vật thừa nên mới không biết nhét vào đâu. ,0
14,Tran Thi Thuy Phuong,"Bộ cứ nhất định phải buff Goten cho bằng bố bằng anh hay sao, t thấy Goten đang làm tốt vai trò của mình rồi, tha cho thằng nhỏ đi ",0
15,Mạnh Dũng,"Nhưng chắc chắn là Goten lên ssy khi ở độ tuổi nhỏ hơn các nhân vật khác,Goten thua Trunk 1 tuổi nha mấy ní",0
16,Nguyễn Thắng,Phải nói 2 báo con Trunkz và goten xem cười k nhặt đc mồm,0
17,Bảo Bảo,Lúc đó mà tác giả đưa được Gohan lên làm main thì có khi Goten không được sinh ra =)))),0
18,Pha Huỳnh,Goten giống Goku mà bị ém quá ,0
19,Hiếu Minh,Goten mà nữ thì hợp thể với Trunks nó ra sao nhể,0
20,Hiếu Hiếu,Tác giả chiều lòng người đọc lên mới trở thành huyền thoại chứ không phải như bộ nào đó cho con làm main rồi cuối cùng thằng bố phế lòi thành bộ chuyện rác ,0
21,Nguyễn Minh,"quá đúng,đã thế thiệt thòi toàn phải xa bố,tủi vl",0
22,Trần Quốc Hiệu,"Để mà nói thì goten được mỗi 2 movie là Gohan vs Broly và Bio Broly là còn cháy 1 tí, còn lại chỉ toàn thấy thằng bé làm nền với ở nhà nhà chính",0
23,HM Hưng,Cái movie 2 nhóc gặp broly thề nhóc goten dễ thương xỉuuuu mà zô chính truyện ít đấtt diễn qá  chắc xuất hiện đậm nét nhất ở buu saga,0
24,Nguyen Tuan Linh,"Nó mới tí tuổi, hợp thể lên dc SS3 đã là quá khủng rồi. Suốt ngày ở nhà, chả đi train gì thì nó đánh với ai :))",0
25,Trần. Thế.Anh,Goten ngoại truyện,0
26,Ze Ro,Gô tên thấy còn mờ nhạt hơn cả  Bản Cô Nương ,0
27,Hoa Phạm,Ko s.E đáng yêu là đc.Xem mà ta nói phát điên vì sự dth của ẻm.Sau mấy trận đánh nhau tan đàn sẻ nghé thù Goten là liều thuốc an thần tốt nhấtt,0
28,Bố Sóc-Sam,Xem goten nhí nhảnh đáng yêu đúng chất trẻ con ngây thơ.,0
29,Bảo Châu,Hắn góp phần diễn hài cho cốt truyện thêm đặc sắc,0
30,Bùi Tuấn Anh,Goten mạnh vch,0
31,Võ Quan Vinh,Mình cũng mong muốn Goten được tác giả Toyo cho Goten được 1 lần tỏa sáng dù chỉ 1 lần cũng được,0
32,Sư Sẹo,Rất thích goten nha,0
33,Hoang Viet Anh,Gô tên phải ở nhà với mẹ rồi,0
34,Lam Dang,"Kẹt, tau muốn gohan tỏa sáng chứ ko buff cần buff bẩn",0
35,Hồ Anh Ngoan,Cái giá của sự phá giá SSJ :))),0
36,Thạch Sơn Hải,Goten được zeno nhận làm đệ xong từ đó mở ra kỷ nguyên mới ,0
37,Dung Hồng Nguyễn,"ừ đấy, ko có bài này tao còn quên có thằng cu này cơ",0
38,Nguyễn Văn Tùng,"Lên ss1 khi chưa biết bay, lẽ ra goten phải là trùm cuối mới đúng ",0
